time,6,1,2,3,9,8,7,4,5,a,b,c,d,e,f,g
1631644349.670224,569,635,598,658,552,547,678,623,636,647,597,637,311,333,471,386
1631644349.679875,569,633,599,658,552,547,656,574,621,646,611,638,311,333,473,395
1631644349.699912,569,631,598,657,553,551,678,623,635,646,596,638,311,333,473,449
1631644349.730206,559,702,617,659,479,565,681,622,634,647,639,642,314,332,479,394
1631644349.750062,568,634,597,659,552,546,677,622,635,646,597,637,311,333,473,392
1631644349.752209,405,645,506,659,480,549,677,622,634,647,598,637,310,333,473,475
1631644349.751315,571,635,597,653,515,549,677,622,633,646,593,638,310,340,477,392
1631644349.760146,568,637,599,658,567,549,675,621,635,646,657,638,310,333,471,394
1631644349.763736,572,636,597,659,553,543,675,714,632,646,597,637,310,333,465,393
1631644349.764891,568,636,480,616,554,549,677,622,661,646,601,636,310,334,474,393
1631644349.766193,595,635,599,658,557,547,677,620,633,646,606,649,310,333,475,395
1631644349.768918,569,636,609,657,559,552,677,546,635,647,597,637,311,332,470,382
1631644349.771564,569,632,650,720,549,546,674,623,635,647,594,643,291,352,530,416
1631644349.77765,569,633,596,656,549,544,673,642,636,647,394,170,299,339,479,392
1631644349.786471,620,167,594,655,482,551,693,672,721,649,593,634,309,332,473,392
1631644349.796397,568,634,489,654,553,549,675,709,648,647,595,635,310,333,471,393
1631644349.806187,567,635,594,654,551,584,723,623,635,647,594,635,311,335,463,392
1631644349.815719,567,632,594,651,251,558,722,622,633,647,595,635,310,332,468,376
1631644349.82698,568,633,594,720,445,547,676,619,632,647,593,635,311,333,472,414
1631644349.837491,567,633,595,656,549,547,678,623,634,647,594,640,309,346,525,420
1631644349.845712,570,645,610,708,557,549,675,621,632,647,507,543,121,214,481,400
1631644349.8559,568,633,595,658,550,546,675,621,633,647,330,640,310,317,475,395
1631644349.865646,568,633,595,657,552,544,722,707,722,647,603,689,316,338,480,393
1631644349.875723,570,632,598,657,579,391,702,630,630,647,596,638,310,335,476,394
1631644349.885615,600,705,596,653,553,550,681,622,633,647,597,641,311,333,474,375
1631644349.895972,569,633,598,658,550,542,656,573,541,646,607,641,311,333,474,394
1631644349.905447,569,633,598,658,554,543,657,459,628,647,595,638,311,333,474,394
1631644349.915374,580,646,603,695,549,547,678,622,609,646,603,692,307,338,466,393
1631644349.926008,573,634,599,656,590,576,724,621,636,647,597,640,310,333,474,394
1631644349.935433,568,635,594,658,589,598,722,725,635,647,597,640,311,334,474,395
1631644349.945792,572,636,600,655,552,548,683,623,636,647,598,641,310,315,431,389
1631644349.95602,565,635,596,656,480,535,668,626,601,648,601,640,311,334,476,394
1631644349.966015,594,637,599,658,554,552,678,624,634,647,597,641,312,333,474,394
1631644349.976078,570,635,599,656,553,548,677,623,636,646,598,642,311,334,474,445
1631644349.985908,570,637,595,658,553,548,678,725,634,647,610,650,315,336,478,395
1631644349.995591,570,633,600,661,553,553,680,621,626,647,252,621,312,336,478,393
1631644350.006555,570,632,635,720,550,547,677,622,634,647,598,640,312,334,474,395
1631644350.01635,617,607,267,720,554,548,679,622,637,647,598,648,313,313,121,161
1631644350.025886,573,638,595,661,554,548,678,624,637,646,601,648,314,229,475,402
1631644350.035387,570,633,596,658,460,567,684,625,637,647,597,641,312,318,515,458
1631644350.045798,562,650,597,658,552,575,722,717,723,650,615,647,314,334,475,396
1631644350.056435,570,637,597,659,554,549,681,625,637,647,599,641,315,309,426,402
1631644350.066174,571,637,601,658,554,355,645,226,654,646,623,642,311,336,478,397
1631644350.076852,561,672,489,661,554,549,678,625,638,647,598,644,313,335,476,394
1631644350.086348,570,634,601,657,553,549,680,623,637,647,599,553,298,222,473,421
1631644350.095919,571,635,600,661,552,549,723,725,614,647,605,665,323,340,482,397
1631644350.105486,571,637,596,660,591,599,722,725,678,647,637,653,315,337,478,397
1631644350.116025,574,637,597,658,555,552,680,642,646,647,599,643,313,335,473,386
1631644350.127009,582,639,601,666,554,549,678,625,638,647,600,644,313,336,475,396
1631644350.135915,618,648,603,718,553,549,680,625,639,647,600,641,313,335,475,397
1631644350.145782,571,635,602,662,554,549,667,632,621,650,618,641,314,336,480,397
1631644350.155169,572,639,602,661,556,554,678,624,638,647,599,642,313,335,531,493
1631644350.166616,573,634,601,661,554,550,684,626,638,647,650,650,317,330,477,398
1631644350.176633,571,637,601,661,552,549,658,578,527,646,640,653,314,337,479,397
1631644350.18564,572,635,597,723,555,554,680,623,636,647,599,642,312,335,467,399
1631644350.195633,596,616,659,720,554,554,680,625,638,647,599,642,289,336,476,395
